time,duration,height,record_id
2014-05-01 16:00:00.028800,1.0,30.4,50
2014-05-15 16:59:59.971200,1.0,30.9,50
2014-05-21 07:59:59.971200,3.0,38.0,50
2014-05-21 13:00:00.028800,1.0,32.2,50
2014-05-21 15:00:00.000000,6.0,48.3,50
2014-05-22 19:59:59.971200,1.0,33.9,50
2014-06-28 12:00:00.000000,7.0,49.5,50
2014-07-01 01:00:00.028800,4.0,41.9,50
2015-02-08 01:59:59.971200,2.0,32.7,50
2015-02-08 15:00:00.000000,2.0,31.7,50
2015-04-20 15:00:00.000000,1.0,33.3,50
2015-05-19 15:00:00.000000,2.0,35.5,50
2015-05-20 00:00:00.000000,6.0,40.0,50
2015-05-20 12:00:00.000000,8.0,62.7,50
2015-05-21 04:00:00.028800,1.0,31.0,50
2015-05-21 13:59:59.971200,1.0,30.8,50
2015-05-21 16:59:59.971200,2.0,31.7,50
2015-05-22 16:59:59.971200,1.0,30.1,50
2015-05-23 03:00:00.000000,3.0,31.8,50
2015-06-08 18:00:00.000000,1.0,30.2,50
2015-06-18 16:00:00.028800,1.0,30.5,50
2016-02-28 13:59:59.971200,6.0,53.3,50
2016-02-29 16:00:00.028800,2.0,41.1,50
2016-06-13 07:00:00.028800,1.0,30.1,50
2016-06-24 16:00:00.028800,2.0,33.0,50
2016-07-28 19:59:59.971200,1.0,34.0,50
2016-07-29 04:59:59.971200,7.0,47.3,50
2017-05-11 13:59:59.971200,3.0,36.6,50
2017-05-12 13:00:00.028800,6.0,49.6,50
2017-05-13 15:00:00.000000,5.0,33.7,50
2017-05-14 16:00:00.028800,2.0,33.1,50
2017-05-15 16:59:59.971200,3.0,33.7,50
2017-05-17 16:59:59.971200,5.0,38.9,50
2017-06-09 13:00:00.028800,4.0,34.1,50
2017-06-13 04:00:00.028800,1.0,32.8,50
2017-07-03 04:59:59.971200,4.0,41.3,50
2017-07-03 16:59:59.971200,3.0,39.0,50
2017-07-04 06:00:00.000000,2.0,38.1,50
2017-07-04 09:00:00.000000,1.0,38.0,50
2017-07-30 03:00:00.000000,5.0,40.2,50
2018-05-31 13:59:59.971200,4.0,47.8,50
2018-06-01 13:00:00.028800,21.0,67.5,50
2018-06-02 12:00:00.000000,9.0,55.4,50
2018-06-03 04:00:00.028800,3.0,32.3,50
2018-07-18 15:00:00.000000,1.0,33.6,50
2018-10-14 03:00:00.000000,2.0,33.1,50
2019-03-25 16:00:00.028800,4.0,38.9,50
2019-05-11 15:00:00.000000,1.0,36.0,50
2019-05-11 16:59:59.971200,6.0,51.3,50
2019-05-13 19:00:00.028800,2.0,34.8,50
2019-05-21 16:59:59.971200,1.0,34.3,50
2019-05-22 16:00:00.028800,3.0,35.8,50
2019-05-23 16:59:59.971200,2.0,32.1,50
2020-03-15 16:00:00.028800,1.0,32.8,50
2020-03-15 18:00:00.000000,1.0,32.2,50
2020-04-29 10:59:59.971200,22.0,73.2,50
2020-04-30 16:00:00.028800,6.0,46.1,50
2021-05-15 16:00:00.028800,4.0,36.6,50
2021-06-12 13:59:59.971200,6.0,44.7,50
2021-06-13 04:00:00.028800,2.0,31.4,50
2021-06-13 16:59:59.971200,2.0,32.9,50
2021-10-25 04:00:00.028800,1.0,30.1,50
2022-04-06 16:00:00.028800,4.0,35.3,50
2022-04-08 19:00:00.028800,2.0,33.2,50
2022-04-18 13:59:59.971200,3.0,33.2,50
2022-04-24 19:59:59.971200,2.0,33.9,50
2022-05-04 16:59:59.971200,2.0,31.8,50
2022-05-19 16:00:00.028800,4.0,36.2,50
2022-05-20 15:00:00.000000,5.0,40.0,50
2022-06-13 13:59:59.971200,4.0,35.6,50
2022-06-14 13:59:59.971200,2.0,30.9,50
2022-06-24 07:59:59.971200,4.0,32.5,50
2023-03-30 18:00:00.000000,5.0,39.5,50
2023-04-07 10:59:59.971200,10.0,61.4,50
2023-04-23 16:00:00.028800,2.0,31.7,50
2023-04-24 16:00:00.028800,3.0,34.8,50
2023-04-25 16:00:00.028800,4.0,35.8,50
2023-04-26 16:00:00.028800,6.0,40.6,50
2023-04-27 04:00:00.028800,3.0,35.8,50
2023-04-27 16:59:59.971200,5.0,39.9,50
2023-04-28 18:00:00.000000,4.0,39.3,50
2023-05-20 13:00:00.028800,7.0,39.4,50
2023-05-21 13:00:00.028800,7.0,51.9,50
2023-05-24 04:00:00.028800,4.0,37.2,50
2023-07-07 15:00:00.000000,3.0,33.8,50
2023-07-08 01:59:59.971200,6.0,42.3,50
2024-01-30 16:00:00.028800,1.0,30.8,50
2024-02-01 16:00:00.028800,3.0,34.4,50
2024-02-02 16:59:59.971200,3.0,37.2,50
2024-02-03 18:00:00.000000,3.0,33.7,50
2024-02-16 16:59:59.971200,1.0,30.7,50
2024-02-18 18:00:00.000000,1.0,31.0,50
2024-03-01 18:00:00.000000,1.0,31.3,50
2024-03-23 10:59:59.971200,2.0,32.3,50
